Identificador del model,Nom del model,Tipus de vehicle,Identificador de la marca
1,124 1.4 Spider / TB Multiair 6V Aut. 170,Turisme,1
2,124 1.4 Spider / TB Multiair 6V 170,Turisme,1
3,124 1.4 Spider TB Multiair GT 6V 170,Turisme,1
4,124 1.4 Spider TB Multiair GT 6V Aut. 170,Turisme,1
5,124 1.4 Spider TB Multiair Turismo 6V 170,Turisme,1
6,124 1.4 Spider TB Multiair Turismo 6V Aut. 170,Turisme,1
7,500 1.4 T-Jet 595 Competizione 160,Turisme,1
8,500 1.4 T-Jet 595 Competizione 180,Turisme,1
9,500 1.4 T-Jet 595 Competizione Secuencial 180,Turisme,1
10,500 1.4 T-Jet 595 Competizione Secuencial 160,Turisme,1
11,500 1.4 T-Jet 595 Turismo (Secuencial) 160,Turisme,1
12,500 1.4 T-Jet 595 Turismo 160,Turisme,1
13,500 1.4 16v 121kW Monster Energy Yamaha E6D (2021),Turisme,1
14,500 1.4 16v T-Jet 595 107kW (145CV) E6D (2021),Turisme,1
15,500 1.4 16v T-Jet 695 132kW 70 Anivers. E6D (2021),Turisme,1
16,500 1.4 T-Jet,Turisme,1
17,500 1.4 T-Jet Secuencial,Turisme,1
18,500 595 Competizione 1.4 16v T-Jet 132kW E6D (2021),Turisme,1
19,500 595 Esseesse 1.4 16v T-Jet 132kW E6D (2021),Turisme,1
20,500 595 Turismo 1.4 16v T-Jet 121kW E6D (2021),Turisme,1
21,500 695 Esseesse 1.4 16v T-Jet 132kW E6D (2021),Turisme,1
22,500 C,Turisme,1
23,500 C 1.4 T-Jet 595 Competizione 180,Turisme,1
24,500 C 1.4 T-Jet 595 Competizione Secuencial 180,Turisme,1
25,500 C 1.4 T-Jet,Turisme,1
26,500 C 1.4 T-Jet 595 Competizione 160,Turisme,1
27,500 C 1.4 T-Jet 595 Competizione Secuencial 160,Turisme,1
28,500 C 1.4 T-Jet 595 Turismo (Secuencial) 160,Turisme,1
29,500 C 1.4 T-Jet 595 Turismo 160,Turisme,1
30,500 C 1.4 T-Jet Secuencial 140,Turisme,1
31,500 Vita,Turisme,1
32,500C 1.4 16v 121kW Monster Energy Yamaha E6D (2021),Turisme,1
33,500C 1.4 16v T-Jet 595 107kW (145CV) E6D (2021),Turisme,1
34,500C 595C Competiz. 1.4 16v T-Jet 132kW E6D (2021),Turisme,1
35,500C 595C Esseesse 1.4 16v T-Jet 132kW E6D (2021),Turisme,1
36,500C 595C Turismo 1.4 16v T-Jet 121kW E6D (2021),Turisme,1
37,595 1.4 T-Jet,Turisme,1
38,595 1.4 T-Jet 145,Turisme,1
39,595 1.4 T-Jet Aut. 145,Turisme,1
40,595 1.4 T-Jet Competizione 180,Turisme,1
41,595 1.4 T-Jet Competizione Secuencial 180,Turisme,1
42,595 1.4 T-Jet Pista 160,Turisme,1
43,595 1.4 T-Jet Pista Cabrio 165,Turisme,1
44,595 1.4 T-Jet Secuencial,Turisme,1
45,595 1.4 T-Jet Turismo 160,Turisme,1
46,595 1.4 T-Jet Turismo 165,Turisme,1
47,595 1.4 T-Jet Turismo Aut. 165,Turisme,1
48,595 1.4 T-Jet Turismo Secuencial 160,Turisme,1
49,595 1.4 T-Jet XSR Yamaha 165,Turisme,1
50,595 1.4 T-Jet XSR Yamaha Cabrio 165,Turisme,1
51,595 C 1.4 T-Jet,Turisme,1
52,595 C 1.4 T-Jet 145,Turisme,1
53,595 C 1.4 T-Jet Aut. 145,Turisme,1
54,595 C 1.4 T-Jet Competizione 180,Turisme,1
55,595 C 1.4 T-Jet Competizione Secuencial 180,Turisme,1
56,595 C 1.4 T-Jet Secuencial 140,Turisme,1
57,595 C 1.4 T-Jet Turismo 160,Turisme,1
58,595 C 1.4 T-Jet Turismo 165,Turisme,1
